Activity_ID,Activity_Date,Activity_Name,Activity_Type,Activity Description,Elapsed_Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving_Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
6641705475,"Feb 6, 2022, 4:17:31 PM","Fitbod - Glutes, Hamstrings, Abductors, Abs, Adductors, Lower Back",Weight Training,"311.0 Calories, 9 Exercises, 18,910 lb lifted",4555,0,,,false,,activities/7062932644.tcx.gz,,,4555.0,4555.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6648414382,"Feb 8, 2022, 3:15:54 AM","Fitbod - Chest, Triceps, Shoulders",Weight Training,"347.0 Calories, 8 Exercises, 15,260 lb lifted",4424,0,,,false,,activities/7070128216.tcx.gz,,,4424.0,4424.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6659382105,"Feb 10, 2022, 3:25:04 AM","Fitbod - Back, Biceps, Forearms, Abs",Weight Training,"339.0 Calories, 9 Exercises, 13,730 lb lifted",5017,0,,,false,,activities/7081845332.tcx.gz,,,5017.0,5017.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6664071378,"Feb 11, 2022, 12:08:59 AM",Evening Run - Downtown Run Group,Run,"",2305,6.47,,,false,"",activities/6664071378.gpx,,,2305.0,2236.0,6477.33349609375,4.408685207366943,2.8968398571014404,13.85694408416748,14.656900405883789,200.6999969482422,207.8000030517578,3.4181578159332275,-0.012422412633895874,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6453.0,,,,,,,,,,,,,,,,6836084.0,,,,,,,,,,0.0,2.8101229667663574,93.19999694824219,,,
6669126568,"Feb 12, 2022, 3:12:43 AM","Fitbod - Chest, Shoulders, Triceps, Abs",Weight Training,"383.0 Calories, 9 Exercises, 17,270 lb lifted",5432,0,,,false,,activities/7092312015.tcx.gz,,,5432.0,5432.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6674690843,"Feb 13, 2022, 2:33:48 AM","Fitbod - Back, Biceps, Abs, Lower Back",Weight Training,"368.0 Calories, 10 Exercises, 13,500 lb lifted",4980,0,,,false,,activities/7098311364.tcx.gz,,,4980.0,4980.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6678569724,"Feb 13, 2022, 4:27:51 PM","Fitbod - Adductors, Glutes, Quadriceps, Abductors",Weight Training,"198.0 Calories, 5 Exercises, 13,560 lb lifted",4099,0,,,false,,activities/7102515573.tcx.gz,,,4099.0,4099.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6684905480,"Feb 15, 2022, 3:37:24 AM","Fitbod - Chest, Triceps, Shoulders, Abs, Lower Back",Weight Training,"381.0 Calories, 11 Exercises, 14,895 lb lifted",5096,0,,,false,,activities/7109366949.tcx.gz,,,5096.0,5096.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6690047191,"Feb 16, 2022, 2:29:12 AM","Fitbod - Back, Biceps, Abs",Weight Training,"345.0 Calories, 9 Exercises, 19,480 lb lifted",5499,0,,,false,,activities/7114870374.tcx.gz,,,5499.0,5499.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6706628364,"Feb 19, 2022, 2:21:44 PM",Rise and Shine 5K,Run,"",1786,5.04,,,false,"",activities/6706628364.gpx,,,1786.0,1786.0,5046.1435546875,4.649613380432129,2.8253884315490723,0.0,0.0,3.0999999046325684,3.799999952316284,1.0215281248092651,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5045.2998046875,,,,,,,,,,,,,,,,6836084.0,,,,,,,,,,0.0,2.8253884315490723,0.0,,,
6729805535,"Feb 24, 2022, 3:24:18 AM","Fitbod - Chest, Shoulders, Triceps, Abs",Weight Training,"419.0 Calories, 10 Exercises, 9,100 lb lifted",5839,0,,,false,,activities/7157654658.tcx.gz,,,5839.0,5839.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6738639763,"Feb 26, 2022, 2:59:07 AM","Fitbod - Back, Biceps, Trapezius, Abs",Weight Training,"402.0 Calories, 9 Exercises, 13,510 lb lifted",5635,0,,,false,,activities/7167194447.tcx.gz,,,5635.0,5635.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6742125635,"Feb 26, 2022, 3:52:46 PM","Fitbod - Chest, Shoulders, Triceps, Abs, Lower Back",Weight Training,"449.0 Calories, 12 Exercises, 15,200 lb lifted",5963,0,,,false,,activities/7170951113.tcx.gz,,,5963.0,5963.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6749680656,"Feb 27, 2022, 5:03:27 PM",Orange Theory @ Quarry,Workout,"",3259,0,,,false,,activities/7179174812.fit.gz,,,3259.0,3259.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,454.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6759734461,"Mar 2, 2022, 3:23:45 AM","Fitbod - Back, Biceps, Abs, Trapezius, Lower Back",Weight Training,"341.0 Calories, 9 Exercises, 13,920 lb lifted",4851,0,,,false,,activities/7190027617.tcx.gz,,,4851.0,4851.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
